Date,open,high,low,close,volume
2023-02-21,162.0,163.53,156.11,156.59,1345394.0
2023-02-22,157.71,160.79,154.75,160.79,1029665.0
2023-02-23,161.18,162.54,158.35,162.19,1012128.0
2023-02-24,161.24,162.56,160.34,161.37,756475.0
2023-02-27,182.54,182.55,175.67,178.16,5814182.0
2023-02-28,177.03,180.74,175.46,179.69,2816311.0
2023-03-01,181.06,182.45,178.0,178.23,1856102.0
2023-03-02,177.93,179.0,175.7,178.67,1330141.0
2023-03-03,179.12,182.48,177.44,181.29,1121994.0
2023-03-06,180.05,180.06,176.22,177.35,1123117.0
2023-03-07,177.96,179.89,177.17,177.5,991677.0
2023-03-08,177.51,177.51,174.72,176.36,520863.0
2023-03-09,176.3,177.81,173.45,173.64,1222472.0
2023-03-10,173.64,173.98,169.13,172.61,1075542.0
2023-03-13,198.75,202.86,196.87,197.65,9337514.0
2023-03-14,199.0,200.1,197.56,199.84,2766732.0
2023-03-15,199.98,200.65,199.38,199.94,2199732.0
2023-03-16,199.9,200.78,198.59,200.48,1811027.0
2023-03-17,199.98,201.04,199.65,200.3,1768990.0
2023-03-20,200.0,200.69,199.3,200.41,1069565.0
2023-03-21,200.41,201.14,199.77,199.91,1047736.0
2023-03-22,200.69,200.69,198.37,198.37,843396.0
2023-03-23,199.43,199.71,197.98,198.1,910906.0
2023-03-24,198.1,198.3,196.93,197.64,791330.0
2023-03-27,199.11,200.85,199.04,199.6,1854285.0
2023-03-28,199.6,203.19,199.5,203.02,1263597.0
2023-03-29,202.55,203.65,201.59,202.23,1279898.0
2023-03-30,203.0,203.61,202.68,203.08,1305003.0
2023-03-31,203.01,204.41,201.77,202.47,1358187.0
2023-04-03,203.41,203.5,199.75,202.0,1758904.0
2023-04-04,202.65,205.0,202.38,204.89,1341838.0
2023-04-05,205.0,206.24,204.79,205.0,2127699.0
2023-04-06,205.77,206.38,204.9,205.55,2030514.0
2023-04-10,204.52,205.05,203.49,204.7,1990048.0
2023-04-11,205.0,205.5,204.46,204.98,2037613.0
2023-04-12,205.4,205.75,205.0,205.2,1056000.0
2023-04-13,205.1,207.17,205.1,206.25,1250960.0
2023-04-14,205.1,206.89,204.92,205.5,2052171.0
2023-04-17,206.35,206.35,205.1,205.4,1074422.0
2023-04-18,205.15,205.6,204.65,205.0,1173962.0
2023-04-19,204.76,205.41,204.68,205.0,1128291.0
2023-04-20,205.31,205.45,204.14,204.29,1053645.0
2023-04-21,204.95,205.23,203.5,203.8,1127884.0
2023-04-24,204.5,204.5,203.16,203.27,1629949.0
2023-04-25,203.9,203.94,202.82,203.2,1335132.0
2023-04-26,202.53,202.98,201.0,201.39,1438293.0
2023-04-27,201.4,202.14,200.5,200.76,1184194.0
2023-04-28,200.83,202.0,199.93,200.0,1663030.0
2023-05-01,200.18,200.44,198.93,199.16,1286696.0
2023-05-02,199.72,200.36,199.37,199.93,1479485.0
2023-05-03,200.8,200.8,198.52,198.58,1180134.0
2023-05-04,198.54,199.42,197.82,198.5,1424672.0
2023-05-05,198.57,200.91,198.2,199.87,1642692.0
2023-05-08,199.87,200.05,198.14,198.23,1535001.0
2023-05-09,198.3,200.32,198.01,200.0,996013.0
2023-05-10,200.34,200.49,199.64,199.99,918698.0
2023-05-11,200.56,201.0,199.01,199.5,724788.0
2023-05-12,199.5,200.18,198.07,199.0,1300455.0
2023-05-15,199.29,200.2,199.0,199.55,1550663.0
2023-05-16,189.78,191.18,184.69,187.64,7070988.0
2023-05-17,191.12,194.78,190.04,193.05,3590091.0
2023-05-18,192.56,195.2,192.56,194.15,2105605.0
2023-05-19,194.5,195.33,193.15,193.3,1479073.0
2023-05-22,193.66,193.91,192.31,193.36,1431389.0
2023-05-23,193.85,197.07,193.18,196.49,1228842.0
2023-05-24,197.27,197.86,195.23,195.42,579569.0
2023-05-25,194.57,195.08,193.8,194.44,854439.0
2023-05-26,194.88,195.74,192.5,193.49,1264830.0
2023-05-30,192.41,195.37,192.41,194.01,1185137.0
2023-05-31,194.95,196.38,194.32,195.7,1616930.0
2023-06-01,195.47,196.2,194.51,194.67,977268.0
2023-06-02,194.12,195.88,194.0,195.38,761949.0
2023-06-05,194.68,196.16,194.43,195.19,1076156.0
2023-06-06,195.61,196.0,194.61,195.47,606460.0
2023-06-07,195.0,196.02,194.68,194.75,1214814.0
2023-06-08,195.0,196.0,194.63,194.72,1077575.0
2023-06-09,194.43,198.66,194.01,196.6,1866883.0
2023-06-12,197.0,197.95,196.75,197.15,1367260.0
2023-06-13,198.07,198.54,196.0,196.25,1727363.0
2023-06-14,198.21,198.34,195.72,196.21,1455379.0
2023-06-15,196.4,197.56,196.29,197.54,767893.0
2023-06-16,198.02,198.64,197.19,198.32,1571682.0
2023-06-20,197.97,199.56,197.5,198.78,911639.0
2023-06-21,199.09,199.53,198.43,198.63,916362.0
2023-06-22,198.67,199.42,198.5,198.91,612482.0
2023-06-23,198.88,199.67,198.0,198.22,1641924.0
2023-06-26,198.0,198.4,196.43,196.54,1147610.0
2023-06-27,198.16,198.19,195.9,196.48,1304435.0
2023-06-28,196.99,196.99,193.49,193.87,2012197.0
2023-06-29,193.5,193.73,190.67,191.53,2008051.0
2023-06-30,192.38,193.35,191.78,192.46,1358461.0
2023-07-03,192.9,194.44,192.25,194.43,452211.0
2023-07-05,194.04,194.54,192.99,193.4,688466.0
2023-07-06,193.11,193.33,191.68,191.9,956783.0
2023-07-07,191.84,192.28,191.1,191.51,699967.0
2023-07-10,192.06,192.79,191.72,192.21,920138.0
2023-07-11,192.0,195.89,191.66,195.0,1384434.0
2023-07-12,194.74,197.82,194.5,196.0,971803.0
2023-07-13,196.19,197.29,195.81,197.15,760187.0
2023-07-14,197.5,198.1,193.77,198.0,1321291.0
2023-07-17,197.17,198.46,197.05,197.6,1170404.0
2023-07-18,197.22,197.75,196.3,196.36,854684.0
2023-07-19,196.31,197.44,195.48,195.51,1200953.0
2023-07-20,195.77,196.95,194.68,194.78,1240241.0
2023-07-21,195.78,195.78,193.8,194.65,3278140.0
2023-07-24,194.19,196.44,194.04,196.23,758241.0
2023-07-25,195.54,196.34,194.02,194.13,666960.0
2023-07-26,194.31,194.7,192.28,192.35,675647.0
2023-07-27,192.62,193.01,191.14,191.57,1204360.0
2023-07-28,192.0,193.15,191.85,192.11,813026.0
2023-07-31,192.5,192.87,191.71,191.78,562535.0
2023-08-01,192.0,192.67,191.62,192.45,686747.0
2023-08-02,192.6,193.43,191.91,192.98,701774.0
2023-08-03,193.99,194.19,192.98,193.5,556634.0
2023-08-04,193.69,194.42,193.44,193.47,634483.0
2023-08-07,194.0,194.6,193.25,193.65,965744.0
2023-08-08,194.94,194.94,194.09,194.65,642657.0
2023-08-09,194.82,195.6,194.8,194.85,1052917.0
2023-08-10,194.99,196.0,194.83,195.0,1114508.0
2023-08-11,194.66,195.75,194.42,194.68,624297.0
2023-08-14,195.14,196.0,194.27,194.3,748216.0
2023-08-15,194.2,195.18,194.14,194.2,669630.0
2023-08-16,194.16,194.92,193.23,193.35,969012.0
2023-08-17,193.29,194.16,192.83,192.9,731783.0
2023-08-18,192.62,193.65,192.62,192.74,486660.0
2023-08-21,192.69,194.0,192.69,193.3,746661.0
2023-08-22,193.25,194.75,193.25,194.28,1148861.0
2023-08-23,195.18,195.95,194.55,195.64,1432252.0
2023-08-24,196.0,197.95,195.62,197.76,1405737.0
2023-08-25,197.79,199.96,197.65,199.81,902755.0
2023-08-28,209.0,209.39,205.97,206.26,2857731.0
2023-08-29,206.0,207.67,206.0,206.96,2022713.0
2023-08-30,207.31,207.82,206.76,206.85,1984335.0
2023-08-31,207.0,207.74,205.74,206.07,1929526.0
2023-09-01,210.0,210.5,207.74,207.91,2119705.0
2023-09-05,208.15,208.2,207.13,207.18,1221149.0
2023-09-06,207.1,207.38,205.73,206.1,1278419.0
2023-09-07,206.17,206.59,204.81,204.9,1268890.0
2023-09-08,205.33,205.4,203.61,204.43,1419516.0
2023-09-11,204.25,208.46,204.0,208.13,1831346.0
2023-09-12,207.8,208.22,206.84,207.35,1376314.0
2023-09-13,207.17,207.5,205.73,205.94,899052.0
2023-09-14,206.0,207.18,206.0,206.5,921817.0
2023-09-15,207.24,208.45,207.0,208.4,1650206.0
2023-09-18,208.06,208.37,206.93,207.17,1131542.0
2023-09-19,207.33,208.77,207.07,208.31,1062086.0
2023-09-20,208.1,208.31,206.99,206.99,1728591.0
2023-09-21,206.5,207.54,206.0,206.39,720391.0
2023-09-22,213.8,214.0,213.2,213.7,3163729.0
2023-09-25,213.22,215.7,213.22,215.52,1876335.0
2023-09-26,215.75,217.08,215.33,216.16,2974834.0
2023-09-27,215.0,215.0,212.23,212.55,3383466.0
2023-09-28,212.9,212.97,212.15,212.24,1299094.0
2023-09-29,212.12,213.5,212.12,212.15,1286777.0
2023-10-02,212.08,213.24,211.0,211.74,1605918.0
2023-10-03,211.74,213.08,211.6,212.51,1800373.0
2023-10-04,213.15,214.78,211.88,213.75,2465060.0
2023-10-05,213.84,214.11,213.27,213.79,1796803.0
2023-10-06,213.88,214.32,213.48,213.52,1270905.0
2023-10-09,213.49,215.6,213.47,214.5,1390705.0
2023-10-10,214.15,214.83,214.0,214.39,1145603.0
2023-10-11,214.62,214.83,214.11,214.5,745148.0
2023-10-12,214.5,215.31,214.26,214.46,1336632.0
2023-10-13,214.63,214.95,213.95,214.03,1478558.0
2023-10-16,214.6,215.19,214.41,214.91,1535916.0
2023-10-17,214.83,216.08,214.07,215.34,1708142.0
2023-10-18,215.4,215.84,214.77,214.85,1427931.0
2023-10-19,215.01,216.86,213.51,214.97,2680712.0
2023-10-20,215.43,215.95,215.05,215.5,2051694.0
2023-10-23,216.59,217.27,215.36,216.87,1293387.0
2023-10-24,216.87,217.45,216.6,217.45,698953.0
2023-10-25,217.5,217.51,216.49,216.64,1084611.0
2023-10-26,216.61,216.88,215.55,215.68,1231225.0
2023-10-27,215.75,215.99,214.42,214.6,1020439.0
2023-10-30,214.67,215.14,214.01,214.15,1040649.0
2023-10-31,214.59,214.59,212.79,212.81,1900415.0
2023-11-01,213.5,215.0,212.9,214.37,1692937.0
2023-11-02,213.65,214.85,213.65,214.79,1028915.0
2023-11-03,214.74,215.7995,214.7,215.0,958394.0
2023-11-06,214.92,215.5,213.98,214.24,1063185.0
2023-11-07,214.24,214.73,213.575,213.95,1428877.0
2023-11-08,215.0,215.0,213.055,213.77,918181.0
2023-11-09,213.1,213.88,212.39,212.94,956728.0
2023-11-10,213.3,214.38,212.75,213.72,1375760.0
2023-11-13,213.5,213.71,212.66,213.2,830727.0
2023-11-14,214.0,214.5,213.14,213.95,1220611.0
2023-11-15,213.09,214.0,211.88,212.07,1319465.0
2023-11-16,212.59,213.4375,212.0,212.91,898269.0
2023-11-17,212.8,213.0,211.77,212.0,1345331.0
2023-11-20,212.25,212.42,211.8,211.85,1023780.0
2023-11-21,213.66,214.99,213.0,214.17,1269659.0
2023-11-22,214.62,214.62,212.82,213.07,845020.0
2023-11-24,213.27,215.0,212.97,214.45,449833.0
2023-11-27,214.5,214.96,214.05,214.42,767842.0
2023-11-28,214.42,214.69,213.8397,214.16,873864.0
2023-11-29,214.33,214.65,213.5,213.52,742894.0
2023-11-30,213.6,213.95,212.82,213.21,1395027.0
2023-12-01,213.6,213.97,212.44,212.72,1304127.0
2023-12-04,212.72,213.245,212.525,213.13,769600.0
2023-12-05,212.85,215.95,212.67,215.83,1415349.0
2023-12-06,216.11,216.42,215.28,215.8,698504.0
2023-12-07,216.0,219.43,215.93,218.33,1997149.0
2023-12-08,219.0,219.76,218.18,218.98,1183163.0
2023-12-11,220.0,221.72,219.0,221.6,2122217.0
2023-12-12,228.86,228.935,228.81,228.9,12255651.0
2023-12-13,228.93,228.96,228.74,228.74,20075399.0
