Date,open,high,low,close,volume
2024-11-18,152.59,155.33,152.33,154.77,7514066.0
2024-11-19,153.945,153.99,152.05,153.0,8233649.0
2024-11-20,153.03,153.25,151.81,153.11,9061099.0
2024-11-21,153.62,156.06,152.81,155.5,10140873.0
2024-11-22,155.9,157.115,154.11,155.17,8265778.0
2024-11-25,155.17,157.035,155.14,155.78,12256005.0
2024-11-26,155.16,155.25,153.16,154.52,5683414.0
2024-11-27,154.63,156.63,154.6,155.4,4140341.0
2024-11-29,154.89,155.67,154.169,155.01,5590860.0
2024-12-02,154.75,155.0,153.9258,154.8,6946289.0
2024-12-03,154.8,154.8,152.305,152.36,8673678.0
2024-12-04,151.29,151.56,149.75,150.47,10332744.0
2024-12-05,150.0,150.38,148.95,149.52,7898059.0
2024-12-06,149.39,150.05,148.38,149.31,8389192.0
2024-12-09,149.29,150.89,148.44,149.6,8410303.0
2024-12-10,149.93,150.83,148.33,149.23,9398666.0
2024-12-11,148.5,148.5,146.37,146.64,13446550.0
2024-12-12,147.2,147.77,146.01,146.24,6176188.0
2024-12-13,145.66,146.93,145.04,146.62,8324868.0
2024-12-16,146.73,147.25,143.52,143.85,8732336.0
2024-12-17,143.84,146.66,143.71,146.41,10342774.0
2024-12-18,145.678,146.74,144.67,144.75,9335874.0
2024-12-19,144.14,145.22,143.37,143.58,9516648.0
2024-12-20,143.05,145.47,142.75,144.47,17702472.0
2024-12-23,144.63,145.33,143.45,145.27,8720822.0
2024-12-24,145.0,145.85,144.3325,145.85,3106059.0
2024-12-26,145.51,146.37,145.09,145.58,4656689.0
2024-12-27,144.87,146.6,144.68,145.05,5588191.0
2024-12-30,144.84,144.88,142.95,143.34,6268647.0
2024-12-31,143.76,144.67,143.3098,144.62,5810882.0
2025-01-02,145.23,145.77,143.78,144.02,6051319.0
2025-01-03,144.07,144.575,143.62,144.19,5879705.0
2025-01-06,143.51,144.815,142.93,143.66,7909271.0
2025-01-07,143.755,147.18,143.59,146.23,8421926.0
2025-01-08,145.49,145.59,141.44,142.27,11175075.0
2025-01-10,141.0,143.67,140.68,142.06,8821540.0
2025-01-13,142.98,145.07,142.31,144.47,10375757.0
2025-01-14,144.5,144.81,142.86,144.75,8681645.0
2025-01-15,145.31,146.05,144.26,144.97,7434428.0
2025-01-16,144.32,148.07,144.06,147.77,8963925.0
2025-01-17,147.44,148.38,146.61,147.03,10773054.0
2025-01-21,147.56,148.86,147.05,148.15,11111612.0
2025-01-22,144.0,145.47,142.11,145.27,16834633.0
2025-01-23,145.44,147.91,144.8144,146.64,10506074.0
2025-01-24,146.805,147.631,146.383,146.82,9887479.0
2025-01-27,148.45,153.45,148.0,152.89,15151729.0
2025-01-28,152.66,152.97,150.3,150.38,10320513.0
2025-01-29,150.5,151.88,150.0,151.15,7156350.0
2025-01-30,151.91,154.14,151.36,152.87,8910920.0
2025-01-31,152.62,153.18,152.055,152.15,8458222.0
2025-02-03,152.0,152.465,150.78,151.87,6687104.0
2025-02-04,151.36,154.18,150.945,153.49,9644475.0
2025-02-05,153.82,154.73,153.31,154.69,8946221.0
2025-02-06,154.79,154.8402,153.38,153.51,7418381.0
2025-02-07,153.53,154.49,152.8,153.12,6204534.0
2025-02-10,153.61,154.37,152.29,154.24,6936396.0
2025-02-11,154.11,156.39,153.94,156.13,7554508.0
2025-02-12,155.27,155.6599,154.27,155.26,7745904.0
2025-02-13,155.26,158.13,154.79,157.25,10704439.0
2025-02-14,157.29,157.47,156.06,156.15,6411780.0
2025-02-18,154.14,155.45,153.24,154.99,9670115.0
2025-02-19,155.0,158.3,154.75,157.89,7974040.0
2025-02-20,156.95,159.95,156.95,159.68,7224002.0
2025-02-21,159.88,163.51,159.28,162.3,12546620.0
2025-02-24,162.68,164.87,162.05,163.74,10201824.0
2025-02-25,164.1,166.43,163.94,166.09,12303593.0
2025-02-26,165.08,165.13,162.555,163.08,11395973.0
2025-02-27,162.31,163.95,161.73,163.73,8364496.0
2025-02-28,164.31,165.94,162.7,165.02,12037204.0
2025-03-03,164.96,167.33,164.84,167.28,9191415.0
2025-03-04,168.08,169.99,165.32,165.42,11999389.0
2025-03-05,164.51,166.4618,163.53,165.12,8744616.0
2025-03-06,165.0,165.87,163.51,165.83,8037888.0
2025-03-07,165.13,168.46,164.7,166.69,9637315.0
2025-03-10,167.48,169.9,167.05,167.7,17558921.0
2025-03-11,167.2,167.3,165.05,165.86,9890228.0
2025-03-12,163.73,164.21,162.23,162.85,8009735.0
2025-03-13,163.43,164.54,162.6601,162.99,5286518.0
2025-03-14,162.12,163.15,161.1,162.81,6235774.0
2025-03-17,162.41,163.5,161.73,162.84,6669507.0
2025-03-18,163.44,164.86,162.965,164.25,7346781.0
2025-03-19,163.97,164.36,162.21,162.99,5936361.0
2025-03-20,163.0,163.2,161.925,163.02,7485797.0
2025-03-21,163.0,164.13,162.48,163.63,17047085.0
2025-03-24,162.84,164.39,162.5,163.29,8046197.0
2025-03-25,163.52,164.19,160.555,161.02,7456177.0
2025-03-26,161.21,162.49,160.64,161.72,7223066.0
2025-03-27,162.35,164.065,161.32,163.13,6752432.0
2025-03-28,163.59,164.52,162.91,163.71,5760500.0
2025-03-31,164.37,166.63,164.23,165.84,12481142.0
2025-04-01,160.73,161.81,153.13,153.25,23303061.0
2025-04-02,154.015,155.79,153.4501,155.36,10356113.0
2025-04-03,158.75,160.645,157.48,159.82,13249217.0
2025-04-04,159.155,159.82,152.93,153.24,16601728.0
2025-04-07,151.28,152.71,147.4,150.62,18082661.0
2025-04-08,153.59,153.59,148.0,150.0,12018237.0
2025-04-09,142.2,153.19,141.5,150.97,18773733.0
2025-04-10,150.37,151.2,145.13,148.69,13830430.0
2025-04-11,149.33,152.35,148.19,151.73,9943500.0
2025-04-14,151.585,154.67,151.1658,154.36,10685315.0
2025-04-15,155.7,156.3,152.1,153.62,10847646.0
2025-04-16,155.37,155.63,152.24,153.91,7986594.0
2025-04-17,154.16,159.44,154.16,157.47,10980988.0
2025-04-21,157.96,158.23,155.49,156.92,6285341.0
2025-04-22,157.55,158.72,156.2601,157.75,7135614.0
2025-04-23,156.49,157.1,154.33,155.38,9099303.0
2025-04-24,155.8,155.895,153.44,154.93,8309828.0
2025-04-25,154.32,154.9,152.45,154.58,8643647.0
