Date,open,high,low,close,volume
2024-11-12,211.9,213.03,209.06,210.86,2818180.0
2024-11-13,209.5,211.41,209.0701,210.92,3247605.0
2024-11-14,210.0,210.4999,206.35,208.99,6372843.0
2024-11-15,207.46,208.49,204.07,204.99,3986390.0
2024-11-18,207.0,208.415,205.3701,208.09,3405696.0
2024-11-19,206.5,210.33,206.19,210.25,2860729.0
2024-11-20,211.0,214.96,209.7725,214.6,4561571.0
2024-11-21,215.81,222.63,215.2701,222.4,5236304.0
2024-11-22,223.35,227.2,220.89,222.97,5320665.0
2024-11-25,223.35,226.42,222.65,226.13,7189101.0
2024-11-26,226.73,228.98,225.5115,228.83,4449475.0
2024-11-27,228.83,229.19,224.27,226.92,2995012.0
2024-11-29,227.75,230.36,227.19,227.41,2597001.0
2024-12-02,227.5,228.38,225.51,227.39,2656097.0
2024-12-03,227.24,229.11,226.67,229.0,3163459.0
2024-12-04,230.0,233.74,229.35,233.49,4104107.0
2024-12-05,233.55,236.52,233.46,234.75,4790638.0
2024-12-06,234.43,238.38,234.22,238.04,4028318.0
2024-12-09,238.0,239.35,228.91,230.0,4970444.0
2024-12-10,228.4,234.39,227.8,231.72,4769045.0
2024-12-11,232.69,233.0,229.13,230.12,3872680.0
2024-12-12,230.66,233.89,230.38,232.26,4515579.0
2024-12-13,232.25,233.775,230.26,230.82,2757223.0
2024-12-16,230.73,231.03,226.88,229.33,3610188.0
2024-12-17,229.23,230.2,227.62,228.97,3651142.0
2024-12-18,229.035,229.035,220.03,220.17,4152500.0
2024-12-19,224.42,226.2,222.98,223.92,4429993.0
2024-12-20,222.73,227.6847,221.68,223.36,12423143.0
2024-12-23,222.81,223.74,221.08,221.93,2988118.0
2024-12-24,222.27,224.4446,221.5428,224.41,1180104.0
2024-12-26,223.31,225.4,222.55,224.89,3287035.0
2024-12-27,223.14,224.42,221.4054,222.78,1810604.0
2024-12-30,220.54,221.5942,217.6523,220.25,2095398.0
2024-12-31,220.72,221.0493,218.44,219.83,2270114.0
2025-01-02,221.82,222.49,217.6,219.94,2579274.0
2025-01-03,220.55,223.66,220.55,222.65,3873367.0
2025-01-06,223.0,224.35,220.75,222.67,2847004.0
2025-01-07,223.35,226.711,222.83,223.96,3298925.0
2025-01-08,223.91,224.9,220.83,223.18,2619525.0
2025-01-10,222.0,222.43,216.8,219.75,3570299.0
2025-01-13,217.89,219.59,214.75,217.4,3716752.0
2025-01-14,218.0,218.125,214.61,217.75,3485726.0
2025-01-15,220.87,221.6761,218.01,220.03,2951456.0
2025-01-16,219.69,222.68,217.38,222.66,3328893.0
2025-01-17,225.955,225.955,223.64,224.79,5506791.0
2025-01-21,224.99,227.45,222.8302,224.26,3982203.0
2025-01-22,221.98,224.4,220.35,223.26,4759132.0
2025-01-23,223.94,226.04,223.15,226.04,3619557.0
2025-01-24,225.27,226.8104,223.8,224.8,3233250.0
2025-01-27,222.19,224.3,219.84,224.13,4897887.0
2025-01-28,224.32,225.77,221.77,225.66,4484782.0
2025-01-29,225.62,229.47,223.73,228.63,7079799.0
2025-01-30,250.0,261.8,247.01,258.27,15381729.0
2025-01-31,256.05,257.235,251.89,255.7,7203507.0
2025-02-03,252.4,262.06,251.84,260.73,8408469.0
2025-02-04,260.0,265.25,258.1233,264.46,6076836.0
2025-02-05,265.71,265.72,261.18,263.3,6164910.0
2025-02-06,262.98,263.38,252.73,253.44,6128044.0
2025-02-07,255.28,256.93,252.02,252.34,3370283.0
2025-02-10,250.86,251.95,246.87,249.27,3564186.0
2025-02-11,251.1,256.75,250.58,254.7,4801470.0
2025-02-12,252.72,256.4,252.02,255.81,3075065.0
2025-02-13,255.66,259.28,254.41,259.19,4531245.0
2025-02-14,259.0,261.94,257.91,261.28,3925103.0
2025-02-18,261.93,263.965,259.83,263.07,4262554.0
2025-02-19,262.0,264.36,260.09,264.32,3718280.0
2025-02-20,263.65,265.09,262.15,264.74,4884548.0
2025-02-21,263.845,264.83,261.1,261.48,5667858.0
2025-02-24,261.5,263.845,259.58,261.87,4398056.0
2025-02-25,261.08,263.48,256.77,257.75,6292089.0
2025-02-26,258.1,258.325,254.4104,255.84,3460027.0
2025-02-27,255.22,257.63,253.05,253.23,3402103.0
2025-02-28,250.855,252.8099,246.54,252.44,7988763.0
2025-03-03,254.735,255.99,248.245,250.19,2977511.0
2025-03-04,248.75,255.48,248.1,253.21,5342072.0
2025-03-05,251.58,252.74,247.0146,251.35,4009560.0
2025-03-06,249.75,252.1,246.8019,248.69,3254358.0
2025-03-07,245.95,261.96,245.1823,261.54,6699616.0
2025-03-10,261.56,266.45,254.7474,256.9,8165106.0
2025-03-11,255.99,256.7,245.86,248.95,5630341.0
2025-03-12,250.35,253.1273,245.53,249.63,3849126.0
2025-03-13,248.8,249.27,243.04,245.8,3861621.0
2025-03-14,242.745,248.9499,241.68,248.35,4045006.0
2025-03-17,249.25,254.63,249.0,252.97,3234114.0
2025-03-18,252.51,252.57,245.12,246.95,4171831.0
2025-03-19,248.33,253.66,246.64,252.29,3853104.0
2025-03-20,244.24,246.8,237.224,243.32,7026731.0
2025-03-21,241.69,245.205,238.5,243.87,9580081.0
2025-03-24,247.31,248.82,245.965,248.45,4752977.0
2025-03-25,248.36,250.9,248.2,249.9,3133325.0
2025-03-26,251.25,254.32,249.53,250.34,4452145.0
2025-03-27,249.71,250.3,245.725,246.21,2889071.0
2025-03-28,246.27,247.57,242.07,244.0,3125436.0
2025-03-31,242.74,250.89,242.49,248.66,6794861.0
2025-04-01,248.03,250.62,243.49,250.34,4412879.0
2025-04-02,248.22,252.79,247.23,249.98,4080701.0
2025-04-03,242.71,250.61,242.53,243.49,5309540.0
2025-04-04,238.0,240.16,226.88,227.48,7406838.0
2025-04-07,219.24,232.29,214.5,225.78,7797757.0
2025-04-08,232.56,233.05,217.28,221.03,6849991.0
2025-04-09,217.12,236.3,215.1636,235.31,7302181.0
2025-04-10,231.0,232.57,222.02,229.55,5656028.0
2025-04-11,229.72,237.58,227.51,235.48,4325588.0
2025-04-14,239.77,241.77,236.73,239.06,3321437.0
2025-04-15,239.55,241.53,238.27,240.7,3363244.0
2025-04-16,240.28,243.2999,235.89,238.57,4870023.0
2025-04-17,239.68,241.775,237.4,238.81,4634958.0
2025-04-21,238.065,240.805,232.93,236.22,4908774.0
2025-04-22,238.5,242.64,238.02,240.9,4232489.0
2025-04-23,246.0,249.34,243.66,245.48,7948208.0
2025-04-24,231.175,232.78,224.4401,229.33,15428018.0
2025-04-25,228.95,233.36,226.32,232.41,6699711.0
